EZEQUIEL RODRIGUEZ | Prioridad: Sí | Transacciones: consulta,retiro,deposito,
GABRIEL VILLEGAS | Prioridad: No | Transacciones: retiro,consulta,
KEVIN OYAGA | Prioridad: No | Transacciones: retiro,
ADRIAN TESTA | Prioridad: No | Transacciones: retiro,consulta,retiro,
JUAN VALERIO | Prioridad: Sí | Transacciones: retiro,actualizacion/libreta,
LUIS SUAREZ | Prioridad: No | Transacciones: retiro,consulta,
GABRIEL VICENTE | Prioridad: Sí | Transacciones: retiro,
EDGAR RUIZ | Prioridad: No | Transacciones: retiro,
MARCOS JESUS | Prioridad: No | Transacciones: retiro,deposito,actualizacion/libreta,
MOHAMED ROJAS | Prioridad: Sí | Transacciones: retiro,
PEDRO RIOS | Prioridad: No | Transacciones: retiro,
NORBENYS NORIEGA | Prioridad: No | Transacciones: retiro,
DIEGO MILLAN | Prioridad: No | Transacciones: retiro,
RAFAEL MARTINEZ | Prioridad: Sí | Transacciones: retiro,
ANDRES ORTEGA | Prioridad: Sí | Transacciones: actualizacion/libreta,retiro,
OSWALD MARIN | Prioridad: No | Transacciones: pago/Servicios,actualizacion/libreta,
YADIRA MARCANO | Prioridad: No | Transacciones: retiro,pago/Servicios,
ERNESTO LUCENA | Prioridad: No | Transacciones: retiro,
PEDRO HERNANDEZ | Prioridad: No | Transacciones: pago/Servicios,retiro,
VALENTINA LEON | Prioridad: Sí | Transacciones: retiro,
ALBERT HENRIQUEZ | Prioridad: No | Transacciones: retiro,
LUIS CORDOVA | Prioridad: No | Transacciones: retiro,
MOHAMAD CHAWCHAR | Prioridad: No | Transacciones: retiro,actualizacion/libreta,pago/Servicios,
VICENTE SPADARO | Prioridad: No | Transacciones: retiro,consulta,
YOHAN BRICEÑO | Prioridad: No | Transacciones: retiro,consulta,deposito,
